Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric",119.700000,-104.500000,180.000000,bottom
"C2","0.1u","C_0402_1005Metric",119.700000,-103.200000,180.000000,bottom
"C3","0.1u","C_0402_1005Metric",128.800000,-100.400000,90.000000,bottom
"D1","GREEN","LED_0402_1005Metric",130.700000,-105.900000,-0.000000,bottom
"F1","300mA","Fuse_0603_1608Metric",119.300000,-95.400000,0.000000,bottom
"R1","2.2k","R_0402_1005Metric",130.700000,-104.600000,-0.000000,bottom
"R2","2.2k","R_0402_1005Metric",120.700000,-102.000000,0.000000,bottom
"R3","2.2k","R_0402_1005Metric",126.800000,-106.900000,180.000000,bottom
"R4","10k","R_0402_1005Metric",130.400000,-98.900000,180.000000,bottom
"R5","10k","R_0402_1005Metric",119.700000,-99.600000,-0.000000,bottom
"R6","10k","R_0402_1005Metric",119.700000,-98.300000,-0.000000,bottom
"R7","10k","R_0402_1005Metric",119.700000,-97.100000,-0.000000,bottom
"R8","10k","R_0402_1005Metric",130.400000,-97.700000,180.000000,bottom
"R9","10k","R_0402_1005Metric",130.400000,-95.300000,180.000000,bottom
"R10","10k","R_0402_1005Metric",130.400000,-96.500000,180.000000,bottom
"U1","CH554E","MSOP-10_3x3mm_P0.5mm",125.000000,-104.400000,180.000000,bottom
"U2","74HC165","SSOP-16_4.4x5.2mm_P0.65mm",124.500000,-97.500000,0.000000,bottom
"J1","USB_A","usbpcb",118.000000,-101.000000,90.000000,top
"SW1","SKRHAAE010","SKRHAAE010",124.200000,-101.000000,45.000000,top
"SW2","SW_Push","SKRPACE010",131.700000,-106.900000,90.000000,top
"SW3","SW_Push","SKRPACE010",131.700000,-99.200000,90.000000,top
